A101	CD standard audio format	CD 'red book' format
B309	Quarter bound	Must be accompanied by a code specifiying a material, eg 'quarter bound real leather'
B310	Saddle-sewn	AKA 'saddle-stitched' or 'wire-stitched'
B311	Comb bound	Round or oval plastic forms in a clamp-like configuration: use with code BE from List 7
B312	Wire-O	Twin loop metal or plastic spine: use with code BE from List 7
B313	Concealed wire	Cased over Wire-O binding: use with code BE from List 7
B401	Cloth over boards	AKA fabric, linen over boards
B402	Paper over boards	
B403	Leather, real	
B404	Leather, imitation	
B405	Leather, bonded	
B406	Vellum	
B409	Cloth	Cloth, not necessarily over boards – cf B401
B410	Imitation cloth	Spanish 'simil-tela'
B411	Velvet	
B412	Flexible plastic/vinyl cover	AKA “flexibound”: use with code BC from List 7
B413	Plastic-covered	
B414	Vinyl-covered	
B415	Laminated cover	Book, laminating material unspecified: use L101 for "whole product laminated", eg a laminated sheet map or wallchart
B501	With dust jacket	Type unspecified
B502	With printed dust jacket	Used to distinguish from B503
B503	With translucent dust cover	With translucent paper or plastic protective cover
B504	With flaps	For paperback with flaps
B505	With thumb index	
B506	With ribbon marker(s)	If the number of markers is significant, it can be stated as free text in <ProductFormDescription>
B507	With zip fastener	
B508	With button snap fastener	
B509	With leather edge lining	AKA yapp edge?
B601	Turn-around book	A book in which half the content is printed upside-down, to be read the other way round
B602	Unflipped manga format	Manga with pages and panels in the sequence of the original Japanese, but with Western text
B701	UK Braille Grade 1	Single letters only
B702	UK Braille Grade 2	With some letter combinations
B703	US Braille	
D101	Real Video format	
D102	Quicktime format	
D103	AVI format	
D104	Windows Media Video format	
D105	MPEG-4	
D201	MS-DOS	Use with an applicable Product Form code D*; note that more detail of operating system requirements can be given in a Product Form Feature composite
D202	Windows	Use with an applicable Product Form code D*; see note on D201
D203	Macintosh	Use with an applicable Product Form code D*; see note on D201
D204	UNIX / LINUX	Use with an applicable Product Form code D*; see note on D201
D205	Other operating system(s)	Use with an applicable Product Form code D*; see note on D201
D206	Palm OS	Use with an applicable Product Form code D*; see note on D201
D207	Windows Mobile	Use with an applicable Product Form code D*; see note on D201
D301	Microsoft XBox	Use with Product Form code DE or DB as applicable
D302	Nintendo Gameboy Color	Use with Product Form code DE or DB as applicable
D303	Nintendo Gameboy Advanced	Use with Product Form code DE or DB as applicable
D304	Nintendo Gameboy	Use with Product Form code DE or DB as applicable
D305	Nintendo Gamecube	Use with Product Form code DE or DB as applicable
D306	Nintendo 64	Use with Product Form code DE or DB as applicable
D307	Sega Dreamcast	Use with Product Form code DE or DB as applicable
D308	Sega Genesis/Megadrive	Use with Product Form code DE or DB as applicable
D309	Sega Saturn	Use with Product Form code DE or DB as applicable
D310	Sony PlayStation 1	Use with Product Form code DE or DB as applicable
D311	Sony PlayStation 2	Use with Product Form code DE or DB as applicable
D312	Nintendo Dual Screen	
D313	Sony PlayStation 3	
D314	Xbox 360	
D315	Nintendo Wii	
D316	Sony PlayStation Portable (PSP)	
E101	EPUB	The Open Publication Structure / OPS Container Format standard of the International Digital Publishing Forum (IDPF) [File extension .epub]
E102	OEB	The Open EBook format of the IDPF, a predecessor of the full EPUB format, still (2008) supported as part of the latter [File extension .opf]
E103	DOC	Microsoft Word binary document format [File extension .doc]
E104	DOCX	Office Open XML / Microsoft Word XML document format (ISO/IEC 29500:2008) [File extension .docx]
E105	HTML	HyperText Mark-up Language [File extension .html, .htm]
E106	ODF	Open Document Format [File extension .odt]
E107	PDF	Portable Document Format (ISO 32000-1:2008) [File extension .pdf]
E108	PDF/A	PDF archiving format defined by ISO 19005-1:2005 [File extension .pdf]
E109	RTF	Rich Text Format [File extension .rtf]
E110	SGML	Standard Generalized Mark-up Language
E111	TCR	A compressed text format mainly used on Psion handheld devices [File extension .tcr]
E112	TXT	Text file format [File extension .txt]
E113	XHTML	Extensible Hypertext Markup Language [File extension .xhtml, .xht, .xml, .html, .htm]
E114	zTXT	A compressed text format mainly used on Palm handheld devices [File extension .pdb – see also E121, E125, E130]
E115	XPS	XML Paper Specification format [File extension .xps]
E116	Amazon Kindle	A format proprietary to Amazon for use with its Kindle reading device [File extension .azw]
E117	BBeB	A Sony proprietary format for use with the Sony Reader and LIBRIé reading devices [File extension .lrf]
E118	DXReader	A proprietary format for use with DXReader software
E119	EBL	A format proprietary to the Ebook Library service
E120	Ebrary	A format proprietary to the Ebrary service
E121	eReader	A proprietary format for use with eReader (aka ‘Palm Reader’) software on various hardware platforms [File extension .pdb – see also E114, E125, E130]
E122	Exebook	A proprietary format with its own reading system for Windows platforms [File extension .exe]
E123	Franklin eBookman	A proprietary format for use with the Franklin eBookman reader
E124	Gemstar Rocketbook	A proprietary format for use with the Gemstar Rocketbook reader [File extension .rb]
E125	iSilo	A proprietary format for use with iSilo software on various hardware platforms [File extension .pdb – see also E114, E121, E130]
E126	Microsoft Reader	A proprietary format for use with Microsoft Reader software on Windows and Pocket PC platforms [File extension .lit]
E127	Mobipocket	A proprietary format for use with Mobipocket software on various hardware platforms [File extension .prc]
E128	MyiLibrary	A format proprietary to the MyiLibrary service
E129	NetLibrary	A format proprietary to the NetLibrary service
E130	Plucker	A proprietary format for use with Plucker reader software on Palm and other handheld devices [File extension .pdb – see also E114, E121, E125]
E131	VitalBook	A format proprietary to the VitalSource service
L101	Laminated	Whole product laminated (eg laminated map, fold-out chart, wallchart, etc): use B415 for book with laminated cover
P101	Desk calendar	Use with Product Form code PC
P102	Mini calendar	Use with Product Form code PC
P103	Engagement calendar	Use with Product Form code PC
P104	Day by day calendar	Use with Product Form code PC
P105	Poster calendar	Use with Product Form code PC
P106	Wall calendar	Use with Product Form code PC
P107	Perpetual calendar	Use with Product Form code PC
P108	Advent calendar	Use with Product Form code PC
P109	Bookmark calendar	Use with Product Form code PC
P110	Student calendar	Use with Product Form code PC
P111	Project calendar	Use with Product Form code PC
P112	Almanac calendar	Use with Product Form code PC
P113	Other calendar	A calendar that is not one of the types specified elsewhere: use with Product Form code PC
P114	Other calendar or organiser product	A product that is associated with or ancillary to a calendar or organiser, eg a deskstand for a calendar, or an insert for an organiser: use with Product Form code PC or PS
P201	Hardback (stationery)	Stationery item in hardback book format
P202	Paperback / softback (stationery)	Stationery item in paperback/softback book format
P203	Spiral bound (stationery)	Stationery item in spiral-bound book format
P204	Leather / fine binding (stationery)	Stationery item in leather-bound book format, or other fine binding
V201	PAL	TV standard for video or DVD
V202	NTSC	TV standard for video or DVD
V203	SECAM	TV standard for video or DVD
