VK	Betamax video	Betamax videotape: specify TV standard in List 78
VL	VCD	VideoCD
VM	SVCD	Super VideoCD
VN	HD DVD	High definition DVD disc, Toshiba HD DVD format
VO	Blu-ray	High definition DVD disc, Sony Blu-ray format
VP	UMD Video	Sony Universal Media disc
VZ	Other video format	Other video format not specified by VB to VP
WW	Mixed media product	A product consisting of two or more items in different media, eg book and CD-ROM, book and toy etc
WX	Multiple copy pack	A product containing multiple copies of one or more items packaged together for retail sale, consisting of either (a) several copies of a single item (eg 6 copies of a graded reader), or (b) several copies of each of several items (eg 3 copies each of 3 different graded readers), or (c) several copies of one or more single items plus a single copy of one or more related items (eg 30 copies of a pupil's textbook plus 1 of teacher's text). NOT TO BE CONFUSED WITH: multi-volume sets, or sets containing a single copy of a number of different items (boxed, slip-cased or otherwise); items with several components of different physical forms (see WW); or packs intended for trade distribution only, where the contents are retailed separately (see XC, XE, XL).
XA	Trade-only material	Trade-only material (unspecified)
XB	Dumpbin – empty	
XC	Dumpbin – filled	Dumpbin with contents
XD	Counterpack – empty	
XE	Counterpack – filled	Counterpack with contents
XF	Poster, promotional	Promotional poster for display, not for sale – see also PK
XG	Shelf strip	
XH	Window piece	Promotional piece for shop window display
XI	Streamer	
XJ	Spinner	
XK	Large book display	Large scale facsimile of book for promotional display
XL	Shrink-wrapped pack	A quantity pack with its own product code, for trade supply only: the retail items it contains are intended for sale individually – see also WX. For products or product bundles supplied shrink-wrapped for retail sale, use the Product Form code of the contents plus code 21 from List 80.
XZ	Other point of sale	Other point of sale material not specified by XB to XL
ZA	General merchandise	General merchandise – unspecified
ZB	Doll	
ZC	Soft toy	Soft or plush toy
ZD	Toy	
ZE	Game	Board game, or other game (except computer game: see DE)
ZF	T-shirt	
ZZ	Other merchandize	Other merchandize not specified by ZB to ZF
