SE	Multiple-item product, loose	Format of product items must be given in <ProductPart>
SF	Multiple-item product, part(s) enclosed	Multiple item product where subsidiary product part(s) is/are supplied as enclosures to the primary part. eg a book with a CD packaged in a sleeve glued within the back cover. Format of product items must be given in <ProductPart>
VA	Video	Video – detail unspecified
VF	Videodisc	eg Laserdisc
VI	DVD video	DVD video: specify TV standard in List 78
VJ	VHS video	VHS videotape: specify TV standard in List 78
VK	Betamax video	Betamax videotape: specify TV standard in List 78
VL	VCD	VideoCD
VM	SVCD	Super VideoCD
VN	HD DVD	High definition DVD disc, Toshiba HD DVD format
VO	Blu-ray	High definition DVD disc, Sony Blu-ray format
VP	UMD Video	Sony Universal Media disc
VZ	Other video format	Other video format not specified by VB to VP
XA	Trade-only material	Trade-only material (unspecified)
XB	Dumpbin – empty	
XC	Dumpbin – filled	Dumpbin with contents
XD	Counterpack – empty	
XE	Counterpack – filled	Counterpack with contents
XF	Poster, promotional	Promotional poster for display, not for sale – see also PK
XG	Shelf strip	
XH	Window piece	Promotional piece for shop window display
XI	Streamer	
XJ	Spinner	
XK	Large book display	Large scale facsimile of book for promotional display
XL	Shrink-wrapped pack	A quantity pack with its own product code, for trade supply only: the retail items it contains are intended for sale individually – see also WX. For products or product bundles supplied shrink-wrapped for retail sale, use the Product Form code of the contents plus code 21 from List 80.
XZ	Other point of sale	Other point of sale material not specified by XB to XL
ZA	General merchandise	General merchandise – unspecified
ZB	Doll	
ZC	Soft toy	Soft or plush toy
ZD	Toy	
ZE	Game	Board game, or other game (except computer game: see DE)
ZF	T-shirt	
ZZ	Other merchandise	Other merchandise not specified by ZB to ZF
